Time,Direction,Entry Price,Result,Balance
2024-11-04 14:55:56.461258,call,1.09126,win,1018.0
2024-11-04 14:57:06.478332,call,1.09129,loss,1008.0
2024-11-04 14:58:16.484570,call,1.09125,win,1026.0
2024-11-04 14:59:26.491698,call,1.09139,loss,1016.0
2024-11-04 15:00:36.499306,call,1.09139,loss,1006.0
2024-11-04 15:01:46.507241,call,1.09139,loss,996.0
2024-11-04 15:02:56.515281,call,1.09138,loss,986.0
2024-11-04 15:04:06.523065,put,1.0911,win,1004.0
2024-11-04 15:05:16.531913,put,1.09097,loss,994.0
2024-11-04 15:06:26.541644,put,1.09097,loss,984.0
2024-11-04 15:07:36.548306,put,1.09102,win,1002.0
2024-11-04 15:08:46.556636,put,1.09093,win,1020.0
2024-11-04 15:09:56.563680,put,1.09085,win,1038.0
2024-11-04 15:11:06.571995,put,1.09076,win,1056.0
2024-11-04 15:12:16.579562,put,1.0906,win,1074.0
2024-11-04 15:13:26.588290,put,1.09046,win,1092.0
2024-11-04 15:14:36.596317,put,1.09036,loss,1082.0
2024-11-04 15:15:46.603596,put,1.0903100000000001,loss,1072.0
2024-11-04 15:16:56.610558,put,1.09037,loss,1062.0
2024-11-04 15:18:06.621329,put,1.0904,loss,1052.0
2024-11-04 15:19:16.628814,put,1.09062,loss,1042.0
2024-11-04 15:20:26.644399,put,1.09058,loss,1032.0
2024-11-04 15:21:36.653697,put,1.09062,loss,1022.0
2024-11-04 15:22:46.660527,call,1.09072,win,1040.0
2024-11-04 15:23:56.666940,call,1.09069,win,1058.0
2024-11-04 15:25:06.681766,call,1.09079,win,1076.0
2024-11-04 15:26:16.688405,call,1.09089,loss,1066.0
2024-11-04 15:27:26.695761,call,1.09084,win,1084.0
2024-11-04 15:28:36.724616,call,1.09093,loss,1074.0
2024-11-04 15:29:46.732785,call,1.09084,loss,1064.0
2024-11-04 15:30:56.739314,call,1.09082,win,1082.0
2024-11-04 15:32:06.745137,call,1.09089,loss,1072.0
2024-11-04 15:33:16.751045,call,1.09072,loss,1062.0
2024-11-04 15:34:26.757761,call,1.09066,win,1080.0
2024-11-04 15:35:36.765121,call,1.09069,win,1098.0
