Time,Direction,Entry Price,Exit Price,Result,Balance
2024-11-04 15:57:36.573299,call,1.09046,1.09056,win,1018.0
2024-11-04 15:58:46.588823,call,1.09067,1.09051,loss,1008.0
2024-11-04 15:59:56.600933,call,1.09051,1.09047,loss,998.0
2024-11-04 16:01:06.607922,call,1.09041,1.09049,win,1016.0
2024-11-04 16:02:16.615193,call,1.09052,1.09047,loss,1006.0
2024-11-04 16:03:26.623721,call,1.09066,1.09074,win,1024.0
2024-11-04 16:04:36.629922,call,1.0907499999999999,1.09072,loss,1014.0
2024-11-04 16:05:46.635889,call,1.09074,1.09064,loss,1004.0
2024-11-04 16:06:56.643120,call,1.09056,1.09049,loss,994.0
2024-11-04 16:08:06.652616,call,1.09044,1.09045,win,1012.0
2024-11-04 16:09:16.664811,put,1.09038,1.09034,win,1030.0
2024-11-04 16:10:26.672761,put,1.09036,1.09047,loss,1020.0
2024-11-04 16:11:36.681082,put,1.09046,1.09052,loss,1010.0
2024-11-04 16:12:46.688146,call,1.09052,1.09044,loss,1000.0
2024-11-04 16:13:56.695277,call,1.09053,1.09057,win,1018.0
2024-11-04 16:15:06.709421,call,1.09058,1.09083,win,1036.0
2024-11-04 16:16:16.715978,call,1.09083,1.09084,win,1054.0
2024-11-04 16:17:26.727011,call,1.09084,1.09073,loss,1044.0
2024-11-04 16:18:36.744264,call,1.09073,1.09076,win,1062.0
2024-11-04 16:19:46.752193,call,1.09081,1.09082,win,1080.0
2024-11-04 16:20:56.763371,call,1.09073,1.09067,loss,1070.0
